Step,Epsilon_2,p,q,specificVoid
638,0.0638,773.571,854.821,1.92531
639,0.0639,773.635,855.059,1.92528
640,0.064,773.699,855.297,1.92524
641,0.0641,773.762,855.534,1.92521
642,0.0642,773.825,855.769,1.92518
643,0.0643,773.887,856.004,1.92515
644,0.0644,773.948,856.237,1.92511
645,0.0645,774.01,856.469,1.92508
646,0.0646,774.071,856.7,1.92505
647,0.0647,774.131,856.93,1.92502
648,0.0648,774.191,857.159,1.92499
649,0.0649,774.25,857.387,1.92495
650,0.065,774.309,857.614,1.92492
651,0.0651,774.368,857.84,1.92489
652,0.0652,774.426,858.065,1.92486
653,0.0653,774.484,858.288,1.92483
654,0.0654,774.541,858.511,1.92479
655,0.0655,774.598,858.733,1.92476
656,0.0656,774.654,858.953,1.92473
657,0.0657,774.71,859.172,1.9247
658,0.0658,774.765,859.391,1.92467
659,0.0659,774.82,859.608,1.92463
660,0.066,774.875,859.825,1.9246
661,0.0661,774.929,860.04,1.92457
662,0.0662,774.983,860.254,1.92454
663,0.0663,775.036,860.467,1.92451
664,0.0664,775.088,860.679,1.92448
665,0.0665,775.141,860.891,1.92444
666,0.0666,775.193,861.101,1.92441
667,0.0667,775.244,861.31,1.92438
668,0.0668,775.295,861.518,1.92435
669,0.0669,775.345,861.725,1.92432
670,0.067,775.395,861.931,1.92429
671,0.0671,775.445,862.136,1.92426
672,0.0672,775.494,862.34,1.92422
673,0.0673,775.543,862.543,1.92419
674,0.0674,775.591,862.745,1.92416
675,0.0675,775.639,862.946,1.92413
676,0.0676,775.686,863.146,1.9241
677,0.0677,775.733,863.345,1.92407
678,0.0678,775.78,863.543,1.92404
679,0.0679,775.826,863.74,1.924
680,0.068,775.871,863.936,1.92397
681,0.0681,775.916,864.131,1.92394
682,0.0682,775.961,864.325,1.92391
683,0.0683,776.005,864.518,1.92388
684,0.0684,776.049,864.71,1.92385
685,0.0685,776.093,864.901,1.92382
686,0.0686,776.135,865.091,1.92379
687,0.0687,776.178,865.28,1.92376
688,0.0688,776.22,865.468,1.92373
689,0.0689,776.262,865.654,1.92369
690,0.069,776.293,865.833,1.92366
691,0.0691,776.34,866.024,1.92363
692,0.0692,776.388,866.216,1.9236
693,0.0693,776.431,866.401,1.92357
694,0.0694,776.463,866.578,1.92354
695,0.0695,776.509,866.766,1.92351
696,0.0696,776.556,866.955,1.92348
697,0.0697,776.598,867.138,1.92345
698,0.0698,776.631,867.314,1.92342
699,0.0699,776.674,867.497,1.92339
700,0.07,776.716,867.679,1.92336
701,0.0701,776.752,867.855,1.92333
702,0.0702,776.788,868.029,1.9233
703,0.0703,776.818,868.198,1.92327
704,0.0704,776.859,868.377,1.92323
705,0.0705,776.901,868.556,1.9232
706,0.0706,776.939,868.731,1.92317
707,0.0707,776.971,868.9,1.92314
708,0.0708,777.008,869.073,1.92311
709,0.0709,777.043,869.243,1.92308
710,0.071,777.074,869.41,1.92305
711,0.0711,777.109,869.579,1.92302
712,0.0712,777.142,869.745,1.92299
713,0.0713,777.171,869.909,1.92296
714,0.0714,777.206,870.076,1.92293
715,0.0715,777.24,870.243,1.9229
716,0.0716,777.273,870.408,1.92287
717,0.0717,777.301,870.568,1.92284
718,0.0718,777.333,870.731,1.92281
719,0.0719,777.363,870.892,1.92278
720,0.072,777.392,871.05,1.92275
721,0.0721,777.42,871.208,1.92272
722,0.0722,777.447,871.364,1.92269
723,0.0723,777.475,871.521,1.92266
724,0.0724,777.503,871.678,1.92263
725,0.0725,777.531,871.833,1.9226
726,0.0726,777.559,871.988,1.92257
727,0.0727,777.586,872.143,1.92254
728,0.0728,777.614,872.297,1.92251
729,0.0729,777.642,872.452,1.92248
730,0.073,777.672,872.608,1.92245
731,0.0731,777.702,872.764,1.92242
732,0.0732,777.734,872.922,1.92239
733,0.0733,777.768,873.081,1.92236
734,0.0734,777.804,873.242,1.92233
735,0.0735,777.841,873.405,1.9223
736,0.0736,777.881,873.569,1.92227
737,0.0737,777.922,873.735,1.92224
738,0.0738,777.964,873.901,1.92221
739,0.0739,778.007,874.067,1.92218
740,0.074,778.05,874.234,1.92215
741,0.0741,778.093,874.4,1.92212
742,0.0742,778.136,874.566,1.92209
743,0.0743,778.179,874.731,1.92206
744,0.0744,778.221,874.895,1.92203
745,0.0745,778.264,875.059,1.922
746,0.0746,778.306,875.222,1.92197
747,0.0747,778.348,875.385,1.92195
748,0.0748,778.39,875.547,1.92192
749,0.0749,778.432,875.709,1.92189
750,0.075,778.474,875.87,1.92186
751,0.0751,778.515,876.031,1.92183
752,0.0752,778.556,876.191,1.9218
753,0.0753,778.597,876.35,1.92177
754,0.0754,778.638,876.509,1.92174
755,0.0755,778.679,876.667,1.92171
756,0.0756,778.719,876.824,1.92168
757,0.0757,778.76,876.981,1.92165
758,0.0758,778.8,877.138,1.92162
759,0.0759,778.84,877.293,1.92159
760,0.076,778.879,877.448,1.92156
761,0.0761,778.919,877.603,1.92153
762,0.0762,778.958,877.757,1.9215
763,0.0763,778.997,877.91,1.92147
764,0.0764,779.036,878.063,1.92144
765,0.0765,779.074,878.216,1.92142
766,0.0766,779.113,878.367,1.92139
767,0.0767,779.151,878.518,1.92136
768,0.0768,779.189,878.669,1.92133
769,0.0769,779.227,878.819,1.9213
770,0.077,779.264,878.968,1.92127
771,0.0771,779.302,879.117,1.92124
772,0.0772,779.339,879.265,1.92121
773,0.0773,779.376,879.412,1.92118
774,0.0774,779.412,879.559,1.92115
775,0.0775,779.449,879.706,1.92112
776,0.0776,779.485,879.852,1.92109
777,0.0777,779.521,879.997,1.92107
778,0.0778,779.557,880.142,1.92104
779,0.0779,779.593,880.286,1.92101
780,0.078,779.628,880.429,1.92098
781,0.0781,779.663,880.572,1.92095
782,0.0782,779.698,880.715,1.92092
783,0.0783,779.733,880.857,1.92089
784,0.0784,779.768,880.998,1.92086
785,0.0785,779.802,881.139,1.92083
786,0.0786,779.836,881.279,1.92081
787,0.0787,779.87,881.418,1.92078
788,0.0788,779.904,881.557,1.92075
789,0.0789,779.937,881.696,1.92072
790,0.079,779.971,881.834,1.92069
791,0.0791,780.004,881.971,1.92066
792,0.0792,780.037,882.108,1.92063
793,0.0793,780.069,882.244,1.9206
794,0.0794,780.102,882.38,1.92058
795,0.0795,780.134,882.515,1.92055
796,0.0796,780.166,882.65,1.92052
797,0.0797,780.198,882.784,1.92049
798,0.0798,780.229,882.917,1.92046
799,0.0799,780.261,883.05,1.92043
800,0.08,780.292,883.183,1.9204
801,0.0801,780.323,883.314,1.92038
802,0.0802,780.353,883.446,1.92035
803,0.0803,780.384,883.577,1.92032
804,0.0804,780.414,883.707,1.92029
805,0.0805,780.444,883.837,1.92026
806,0.0806,780.474,883.966,1.92023
807,0.0807,780.504,884.094,1.92021
808,0.0808,780.533,884.223,1.92018
809,0.0809,780.563,884.35,1.92015
810,0.081,780.592,884.477,1.92012
811,0.0811,780.62,884.604,1.92009
812,0.0812,780.649,884.73,1.92006
813,0.0813,780.677,884.855,1.92004
814,0.0814,780.706,884.98,1.92001
815,0.0815,780.734,885.105,1.91998
816,0.0816,780.761,885.229,1.91995
817,0.0817,780.789,885.352,1.91992
818,0.0818,780.816,885.475,1.9199
819,0.0819,780.843,885.597,1.91987
820,0.082,780.87,885.719,1.91984
821,0.0821,780.897,885.841,1.91981
822,0.0822,780.924,885.961,1.91978
823,0.0823,780.95,886.082,1.91975
824,0.0824,780.976,886.202,1.91973
825,0.0825,781.002,886.321,1.9197
826,0.0826,781.028,886.44,1.91967
827,0.0827,781.053,886.558,1.91964
828,0.0828,781.078,886.676,1.91961
829,0.0829,781.103,886.793,1.91959
830,0.083,781.128,886.91,1.91956
831,0.0831,781.153,887.026,1.91953
832,0.0832,781.177,887.142,1.9195
833,0.0833,781.202,887.257,1.91948
834,0.0834,781.226,887.372,1.91945
835,0.0835,781.249,887.486,1.91942
836,0.0836,781.273,887.6,1.91939
837,0.0837,781.296,887.714,1.91936
838,0.0838,781.32,887.826,1.91934
839,0.0839,781.343,887.939,1.91931
840,0.084,781.365,888.051,1.91928
841,0.0841,781.388,888.162,1.91925
842,0.0842,781.41,888.273,1.91923
843,0.0843,781.433,888.383,1.9192
844,0.0844,781.455,888.493,1.91917
845,0.0845,781.476,888.603,1.91914
846,0.0846,781.498,888.712,1.91912
847,0.0847,781.519,888.82,1.91909
848,0.0848,781.541,888.928,1.91906
849,0.0849,781.561,889.036,1.91903
850,0.085,781.582,889.143,1.919
851,0.0851,781.603,889.249,1.91898
852,0.0852,781.623,889.356,1.91895
853,0.0853,781.643,889.461,1.91892
854,0.0854,781.663,889.566,1.91889
855,0.0855,781.683,889.671,1.91887
856,0.0856,781.703,889.775,1.91884
857,0.0857,781.722,889.879,1.91881
858,0.0858,781.741,889.983,1.91879
859,0.0859,781.76,890.086,1.91876
860,0.086,781.779,890.188,1.91873
861,0.0861,781.797,890.29,1.9187
862,0.0862,781.816,890.391,1.91868
863,0.0863,781.834,890.492,1.91865
864,0.0864,781.852,890.593,1.91862
865,0.0865,781.87,890.693,1.91859
866,0.0866,781.887,890.793,1.91857
867,0.0867,781.905,890.892,1.91854
868,0.0868,781.922,890.991,1.91851
869,0.0869,781.939,891.089,1.91849
870,0.087,781.956,891.187,1.91846
871,0.0871,781.972,891.284,1.91843
872,0.0872,781.989,891.381,1.9184
873,0.0873,782.005,891.478,1.91838
874,0.0874,782.021,891.574,1.91835
875,0.0875,782.037,891.67,1.91832
876,0.0876,782.052,891.765,1.9183
877,0.0877,782.068,891.86,1.91827
878,0.0878,782.083,891.954,1.91824
879,0.0879,782.098,892.048,1.91821
880,0.088,782.113,892.141,1.91819
881,0.0881,782.127,892.234,1.91816
882,0.0882,782.142,892.327,1.91813
883,0.0883,782.156,892.419,1.91811
884,0.0884,782.17,892.511,1.91808
885,0.0885,782.184,892.602,1.91805
886,0.0886,782.197,892.693,1.91803
887,0.0887,782.211,892.784,1.918
888,0.0888,782.224,892.874,1.91797
889,0.0889,782.237,892.963,1.91795
890,0.089,782.25,893.052,1.91792
891,0.0891,782.263,893.141,1.91789
892,0.0892,782.275,893.229,1.91787
893,0.0893,782.287,893.317,1.91784
894,0.0894,782.3,893.405,1.91781
895,0.0895,782.312,893.492,1.91779
896,0.0896,782.323,893.578,1.91776
897,0.0897,782.335,893.665,1.91773
898,0.0898,782.346,893.75,1.91771
899,0.0899,782.357,893.836,1.91768
900,0.09,782.368,893.921,1.91765
901,0.0901,782.379,894.005,1.91763
902,0.0902,782.39,894.089,1.9176
903,0.0903,782.4,894.173,1.91757
904,0.0904,782.41,894.256,1.91755
905,0.0905,782.42,894.339,1.91752
906,0.0906,782.43,894.422,1.91749
907,0.0907,782.439,894.504,1.91747
908,0.0908,782.449,894.586,1.91744
909,0.0909,782.458,894.667,1.91741
910,0.091,782.467,894.748,1.91739
911,0.0911,782.476,894.828,1.91736
912,0.0912,782.485,894.908,1.91733
913,0.0913,782.493,894.988,1.91731
914,0.0914,782.502,895.067,1.91728
915,0.0915,782.51,895.146,1.91726
916,0.0916,782.518,895.225,1.91723
917,0.0917,782.525,895.303,1.9172
918,0.0918,782.533,895.38,1.91718
919,0.0919,782.54,895.458,1.91715
920,0.092,782.547,895.534,1.91712
921,0.0921,782.554,895.611,1.9171
922,0.0922,782.561,895.687,1.91707
923,0.0923,782.568,895.763,1.91705
924,0.0924,782.574,895.838,1.91702
925,0.0925,782.58,895.913,1.91699
926,0.0926,782.586,895.988,1.91697
927,0.0927,782.592,896.062,1.91694
928,0.0928,782.598,896.135,1.91692
929,0.0929,782.603,896.209,1.91689
930,0.093,782.609,896.282,1.91686
931,0.0931,782.614,896.353,1.91684
932,0.0932,782.61,896.419,1.91681
933,0.0933,782.62,896.495,1.91678
934,0.0934,782.63,896.572,1.91676
935,0.0935,782.635,896.644,1.91673
936,0.0936,782.639,896.713,1.91671
937,0.0937,782.634,896.776,1.91668
938,0.0938,782.643,896.851,1.91665
939,0.0939,782.653,896.928,1.91663
940,0.094,782.659,896.998,1.9166
941,0.0941,782.658,897.064,1.91658
942,0.0942,782.664,897.135,1.91655
943,0.0943,782.668,897.203,1.91653
944,0.0944,782.665,897.268,1.9165
945,0.0945,782.672,897.339,1.91647
946,0.0946,782.678,897.409,1.91645
947,0.0947,782.679,897.475,1.91642
948,0.0948,782.681,897.54,1.9164
949,0.0949,782.677,897.601,1.91637
950,0.095,782.683,897.672,1.91634
951,0.0951,782.691,897.743,1.91632
952,0.0952,782.695,897.81,1.91629
953,0.0953,782.691,897.871,1.91627
954,0.0954,782.697,897.94,1.91624
955,0.0955,782.703,898.01,1.91622
956,0.0956,782.706,898.074,1.91619
957,0.0957,782.704,898.136,1.91616
958,0.0958,782.706,898.2,1.91614
959,0.0959,782.706,898.262,1.91611
960,0.096,782.704,898.322,1.91609
961,0.0961,782.704,898.384,1.91606
962,0.0962,782.702,898.444,1.91604
963,0.0963,782.703,898.506,1.91601
964,0.0964,782.7,898.565,1.91599
965,0.0965,782.7,898.626,1.91596
966,0.0966,782.697,898.684,1.91594
967,0.0967,782.697,898.745,1.91591
968,0.0968,782.695,898.804,1.91588
969,0.0969,782.692,898.861,1.91586
970,0.097,782.69,898.919,1.91583
971,0.0971,782.685,898.975,1.91581
972,0.0972,782.686,899.036,1.91578
973,0.0973,782.687,899.097,1.91576
974,0.0974,782.685,899.155,1.91573
975,0.0975,782.681,899.21,1.91571
976,0.0976,782.681,899.27,1.91568
977,0.0977,782.681,899.33,1.91566
978,0.0978,782.68,899.387,1.91563
979,0.0979,782.675,899.442,1.91561
980,0.098,782.674,899.499,1.91558
981,0.0981,782.671,899.555,1.91555
982,0.0982,782.667,899.61,1.91553
983,0.0983,782.663,899.664,1.9155
984,0.0984,782.658,899.717,1.91548
985,0.0985,782.654,899.771,1.91545
986,0.0986,782.65,899.824,1.91543
987,0.0987,782.644,899.876,1.9154
988,0.0988,782.64,899.929,1.91538
989,0.0989,782.636,899.982,1.91535
990,0.099,782.631,900.035,1.91533
991,0.0991,782.626,900.086,1.9153
992,0.0992,782.62,900.137,1.91528
993,0.0993,782.614,900.187,1.91525
994,0.0994,782.607,900.238,1.91523
995,0.0995,782.601,900.288,1.9152
996,0.0996,782.595,900.338,1.91518
997,0.0997,782.589,900.389,1.91515
998,0.0998,782.585,900.44,1.91513
999,0.0999,782.58,900.492,1.9151
1000,0.1,782.577,900.545,1.91508
1001,0.1001,782.576,900.6,1.91505
1002,0.1002,782.576,900.656,1.91503
1003,0.1003,782.577,900.714,1.915
1004,0.1004,782.58,900.774,1.91498
1005,0.1005,782.584,900.835,1.91495
1006,0.1006,782.59,900.897,1.91493
1007,0.1007,782.597,900.961,1.9149
1008,0.1008,782.606,901.026,1.91488
1009,0.1009,782.614,901.092,1.91485
1010,0.101,782.623,901.157,1.91483
1011,0.1011,782.633,901.223,1.9148
1012,0.1012,782.642,901.289,1.91478
1013,0.1013,782.652,901.355,1.91475
1014,0.1014,782.661,901.42,1.91473
1015,0.1015,782.671,901.486,1.9147
1016,0.1016,782.68,901.551,1.91468
1017,0.1017,782.69,901.617,1.91465
1018,0.1018,782.699,901.682,1.91463
1019,0.1019,782.709,901.747,1.9146
1020,0.102,782.718,901.811,1.91458
1021,0.1021,782.728,901.876,1.91455
1022,0.1022,782.737,901.941,1.91453
1023,0.1023,782.747,902.005,1.9145
1024,0.1024,782.756,902.069,1.91448
1025,0.1025,782.765,902.133,1.91445
1026,0.1026,782.774,902.197,1.91443
1027,0.1027,782.784,902.261,1.9144
1028,0.1028,782.793,902.324,1.91438
1029,0.1029,782.802,902.388,1.91436
1030,0.103,782.811,902.451,1.91433
1031,0.1031,782.82,902.514,1.91431
1032,0.1032,782.829,902.577,1.91428
1033,0.1033,782.838,902.639,1.91426
1034,0.1034,782.847,902.702,1.91423
1035,0.1035,782.855,902.764,1.91421
1036,0.1036,782.864,902.826,1.91418
1037,0.1037,782.873,902.888,1.91416
1038,0.1038,782.882,902.95,1.91413
1039,0.1039,782.89,903.012,1.91411
1040,0.104,782.899,903.073,1.91408
1041,0.1041,782.907,903.135,1.91406
1042,0.1042,782.916,903.196,1.91403
1043,0.1043,782.924,903.257,1.91401
1044,0.1044,782.932,903.317,1.91399
1045,0.1045,782.941,903.378,1.91396
1046,0.1046,782.949,903.439,1.91394
1047,0.1047,782.957,903.499,1.91391
1048,0.1048,782.965,903.559,1.91389
1049,0.1049,782.973,903.619,1.91386
1050,0.105,782.981,903.678,1.91384
1051,0.1051,782.989,903.738,1.91381
1052,0.1052,782.997,903.797,1.91379
1053,0.1053,783.005,903.857,1.91376
1054,0.1054,783.013,903.916,1.91374
1055,0.1055,783.02,903.974,1.91372
1056,0.1056,783.028,904.033,1.91369
1057,0.1057,783.035,904.092,1.91367
1058,0.1058,783.043,904.15,1.91364
1059,0.1059,783.05,904.208,1.91362
1060,0.106,783.058,904.266,1.91359
1061,0.1061,783.065,904.324,1.91357
1062,0.1062,783.072,904.382,1.91354
1063,0.1063,783.079,904.439,1.91352
1064,0.1064,783.087,904.496,1.9135
1065,0.1065,783.094,904.553,1.91347
1066,0.1066,783.101,904.61,1.91345
1067,0.1067,783.108,904.667,1.91342
1068,0.1068,783.114,904.724,1.9134
1069,0.1069,783.121,904.78,1.91337
1070,0.107,783.128,904.836,1.91335
1071,0.1071,783.135,904.892,1.91333
1072,0.1072,783.141,904.948,1.9133
1073,0.1073,783.148,905.004,1.91328
1074,0.1074,783.154,905.06,1.91325
1075,0.1075,783.161,905.115,1.91323
1076,0.1076,783.167,905.17,1.91321
1077,0.1077,783.173,905.225,1.91318
1078,0.1078,783.179,905.28,1.91316
1079,0.1079,783.186,905.335,1.91313
1080,0.108,783.192,905.389,1.91311
1081,0.1081,783.198,905.444,1.91308
1082,0.1082,783.204,905.498,1.91306
1083,0.1083,783.21,905.552,1.91304
1084,0.1084,783.215,905.606,1.91301
1085,0.1085,783.221,905.66,1.91299
1086,0.1086,783.227,905.713,1.91296
1087,0.1087,783.232,905.767,1.91294
1088,0.1088,783.238,905.82,1.91292
1089,0.1089,783.243,905.873,1.91289
1090,0.109,783.249,905.926,1.91287
1091,0.1091,783.254,905.978,1.91284
1092,0.1092,783.259,906.031,1.91282
1093,0.1093,783.265,906.083,1.9128
1094,0.1094,783.27,906.135,1.91277
1095,0.1095,783.275,906.187,1.91275
1096,0.1096,783.28,906.239,1.91273
1097,0.1097,783.285,906.291,1.9127
1098,0.1098,783.29,906.343,1.91268
1099,0.1099,783.295,906.394,1.91265
1100,0.11,783.299,906.445,1.91263
1101,0.1101,783.304,906.496,1.91261
1102,0.1102,783.309,906.547,1.91258
1103,0.1103,783.313,906.598,1.91256
1104,0.1104,783.318,906.648,1.91253
1105,0.1105,783.322,906.699,1.91251
1106,0.1106,783.327,906.749,1.91249
1107,0.1107,783.331,906.799,1.91246
1108,0.1108,783.335,906.849,1.91244
1109,0.1109,783.339,906.899,1.91242
1110,0.111,783.343,906.949,1.91239
1111,0.1111,783.347,906.998,1.91237
1112,0.1112,783.351,907.047,1.91234
1113,0.1113,783.355,907.096,1.91232
1114,0.1114,783.359,907.145,1.9123
1115,0.1115,783.363,907.194,1.91227
1116,0.1116,783.367,907.243,1.91225
1117,0.1117,783.37,907.291,1.91223
1118,0.1118,783.374,907.34,1.9122
1119,0.1119,783.377,907.388,1.91218
1120,0.112,783.381,907.436,1.91216
1121,0.1121,783.384,907.484,1.91213
1122,0.1122,783.387,907.532,1.91211
1123,0.1123,783.391,907.579,1.91208
1124,0.1124,783.394,907.627,1.91206
1125,0.1125,783.397,907.674,1.91204
1126,0.1126,783.4,907.721,1.91201
1127,0.1127,783.403,907.768,1.91199
1128,0.1128,783.406,907.815,1.91197
1129,0.1129,783.409,907.862,1.91194
1130,0.113,783.411,907.908,1.91192
1131,0.1131,783.414,907.954,1.9119
1132,0.1132,783.417,908.001,1.91187
1133,0.1133,783.419,908.047,1.91185
1134,0.1134,783.422,908.093,1.91183
1135,0.1135,783.424,908.138,1.9118
1136,0.1136,783.427,908.184,1.91178
1137,0.1137,783.429,908.229,1.91176
1138,0.1138,783.431,908.275,1.91173
1139,0.1139,783.433,908.32,1.91171
1140,0.114,783.436,908.365,1.91169
1141,0.1141,783.438,908.41,1.91166
1142,0.1142,783.44,908.455,1.91164
1143,0.1143,783.442,908.499,1.91162
1144,0.1144,783.443,908.544,1.91159
1145,0.1145,783.445,908.588,1.91157
1146,0.1146,783.447,908.632,1.91155
1147,0.1147,783.449,908.676,1.91152
1148,0.1148,783.45,908.72,1.9115
1149,0.1149,783.452,908.764,1.91148
1150,0.115,783.453,908.807,1.91145
1151,0.1151,783.455,908.85,1.91143
1152,0.1152,783.456,908.894,1.91141
1153,0.1153,783.457,908.937,1.91138
1154,0.1154,783.458,908.98,1.91136
1155,0.1155,783.46,909.023,1.91134
1156,0.1156,783.461,909.065,1.91131
1157,0.1157,783.462,909.108,1.91129
1158,0.1158,783.463,909.15,1.91127
1159,0.1159,783.464,909.193,1.91124
1160,0.116,783.464,909.235,1.91122
1161,0.1161,783.465,909.277,1.9112
1162,0.1162,783.466,909.319,1.91118
1163,0.1163,783.466,909.36,1.91115
1164,0.1164,783.467,909.402,1.91113
1165,0.1165,783.468,909.443,1.91111
1166,0.1166,783.468,909.484,1.91108
1167,0.1167,783.468,909.526,1.91106
1168,0.1168,783.469,909.567,1.91104
1169,0.1169,783.469,909.608,1.91101
1170,0.117,783.469,909.648,1.91099
1171,0.1171,783.469,909.689,1.91097
1172,0.1172,783.469,909.729,1.91094
1173,0.1173,783.469,909.77,1.91092
1174,0.1174,783.469,909.81,1.9109
1175,0.1175,783.469,909.85,1.91088
1176,0.1176,783.469,909.89,1.91085
1177,0.1177,783.469,909.929,1.91083
1178,0.1178,783.468,909.969,1.91081
1179,0.1179,783.468,910.009,1.91078
1180,0.118,783.467,910.048,1.91076
1181,0.1181,783.467,910.087,1.91074
1182,0.1182,783.466,910.126,1.91072
1183,0.1183,783.466,910.165,1.91069
1184,0.1184,783.465,910.204,1.91067
1185,0.1185,783.464,910.243,1.91065
1186,0.1186,783.463,910.281,1.91062
1187,0.1187,783.463,910.32,1.9106
1188,0.1188,783.462,910.358,1.91058
1189,0.1189,783.461,910.396,1.91056
1190,0.119,783.459,910.434,1.91053
1191,0.1191,783.458,910.472,1.91051
1192,0.1192,783.457,910.51,1.91049
1193,0.1193,783.456,910.547,1.91047
1194,0.1194,783.455,910.585,1.91044
1195,0.1195,783.453,910.622,1.91042
1196,0.1196,783.452,910.66,1.9104
1197,0.1197,783.45,910.697,1.91037
1198,0.1198,783.449,910.734,1.91035
1199,0.1199,783.447,910.77,1.91033
1200,0.12,783.445,910.807,1.91031
1201,0.1201,783.443,910.844,1.91028
1202,0.1202,783.442,910.88,1.91026
1203,0.1203,783.44,910.917,1.91024
1204,0.1204,783.438,910.953,1.91022
1205,0.1205,783.436,910.989,1.91019
1206,0.1206,783.434,911.025,1.91017
1207,0.1207,783.431,911.061,1.91015
1208,0.1208,783.429,911.096,1.91013
1209,0.1209,783.427,911.132,1.9101
1210,0.121,783.425,911.167,1.91008
1211,0.1211,783.422,911.203,1.91006
1212,0.1212,783.42,911.238,1.91004
1213,0.1213,783.417,911.273,1.91001
1214,0.1214,783.415,911.308,1.90999
1215,0.1215,783.412,911.343,1.90997
1216,0.1216,783.409,911.377,1.90995
1217,0.1217,783.407,911.412,1.90992
1218,0.1218,783.404,911.446,1.9099
1219,0.1219,783.401,911.481,1.90988
1220,0.122,783.398,911.515,1.90986
1221,0.1221,783.395,911.549,1.90983
1222,0.1222,783.392,911.583,1.90981
1223,0.1223,783.389,911.617,1.90979
1224,0.1224,783.385,911.65,1.90977
1225,0.1225,783.382,911.684,1.90974
1226,0.1226,783.379,911.717,1.90972
1227,0.1227,783.375,911.751,1.9097
1228,0.1228,783.372,911.784,1.90968
1229,0.1229,783.368,911.817,1.90966
1230,0.123,783.365,911.85,1.90963
1231,0.1231,783.361,911.883,1.90961
1232,0.1232,783.358,911.915,1.90959
1233,0.1233,783.354,911.948,1.90957
1234,0.1234,783.35,911.98,1.90954
1235,0.1235,783.346,912.013,1.90952
1236,0.1236,783.342,912.045,1.9095
1237,0.1237,783.338,912.077,1.90948
1238,0.1238,783.334,912.109,1.90945
1239,0.1239,783.33,912.141,1.90943
1240,0.124,783.326,912.173,1.90941
1241,0.1241,783.322,912.204,1.90939
1242,0.1242,783.317,912.236,1.90937
1243,0.1243,783.313,912.267,1.90934
1244,0.1244,783.308,912.299,1.90932
1245,0.1245,783.304,912.33,1.9093
1246,0.1246,783.299,912.361,1.90928
1247,0.1247,783.295,912.392,1.90926
1248,0.1248,783.29,912.422,1.90923
1249,0.1249,783.285,912.453,1.90921
1250,0.125,783.281,912.484,1.90919
1251,0.1251,783.276,912.514,1.90917
1252,0.1252,783.271,912.544,1.90915
1253,0.1253,783.266,912.575,1.90912
1254,0.1254,783.261,912.605,1.9091
1255,0.1255,783.256,912.635,1.90908
1256,0.1256,783.25,912.665,1.90906
1257,0.1257,783.245,912.694,1.90904
1258,0.1258,783.24,912.724,1.90901
1259,0.1259,783.235,912.754,1.90899
1260,0.126,783.229,912.783,1.90897
1261,0.1261,783.224,912.812,1.90895
1262,0.1262,783.218,912.841,1.90893
1263,0.1263,783.213,912.87,1.9089
1264,0.1264,783.207,912.899,1.90888
